[ERR] 2017-09-18 06:47:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:47:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:21 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:21 | Forged new block id: 12371868636107821015 height: 43 round: 22 slot: 4160804 reward:0
[ERR] 2017-09-18 06:47:24 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:29 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:34 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:39 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:47:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:47:40 | Forged new block id: 16616795379032994235 height: 44 round: 22 slot: 4160806 reward:0
[ERR] 2017-09-18 06:47:44 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:49 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:54 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:47:59 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:48:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:00 | Forged new block id: 8286434125256733928 height: 45 round: 23 slot: 4160808 reward:0
[ERR] 2017-09-18 06:48:04 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:09 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:48:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:20 | Forged new block id: 10340757627380720384 height: 46 round: 23 slot: 4160810 reward:0
[ERR] 2017-09-18 06:48:24 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:29 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:34 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:39 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:48:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:48:40 | Forged new block id: 7642479633610124405 height: 47 round: 24 slot: 4160812 reward:0
[ERR] 2017-09-18 06:48:44 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:49 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:54 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:48:59 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:49:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:49:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:49:00 | Forged new block id: 14082410672627992699 height: 48 round: 24 slot: 4160814 reward:0
[ERR] 2017-09-18 06:49:04 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:49:09 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:49:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:49:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:49:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:49:20 | Broadhash consensus now 0 %
